Schlüssel|Zeitstand|Planungsraumnummer|Einwohnerstand|Status 4: Kinderarmut|Kommentar
11200411|202012|11200411|6.856|27,83|gültig
11200512|202012|11200512|3.898|13,76|gültig
11200513|202012|11200513|9.897|31,746|gültig
11200514|202012|11200514|15.296|34,404|gültig
11200515|202012|11200515|4.125|5,167|gültig
11300616|202012|11300616|6.058|48,939|gültig
11300617|202012|11300617|4.292|33,846|gültig
11300618|202012|11300618|3.713|26,456|gültig
11300619|202012|11300619|8.422|22,835|gültig
11300620|202012|11300620|11.266|30,347|gültig
11300721|202012|11300721|5.263|24,056|gültig
11300722|202012|11300722|9.901|14,211|gültig
11300723|202012|11300723|2.413|12,64|gültig
11300724|202012|11300724|3.989|26,241|gültig
11300725|202012|11300725|9.837|18,39|gültig
11300826|202012|11300826|9.956|33,359|gültig
11400927|202012|11400927|4.218|10,188|gültig
11400928|202012|11400928|2.359|12,637|gültig
11400929|202012|11400929|16.111|21,905|gültig
11400930|202012|11400930|4.615|7,323|gültig
11400931|202012|11400931|6.764|30,137|gültig
11401032|202012|11401032|5.824|41,062|gültig
11401033|202012|11401033|6.756|30,393|gültig
11401034|202012|11401034|3.195|39,853|gültig
11401135|202012|11401135|10.139|40,365|gültig
11401136|202012|11401136|8.155|22,937|gültig
11401137|202012|11401137|8.708|38,087|gültig
11501238|202012|11501238|4.244|10,106|gültig
11501339|202012|11501339|10.346|8,996|gültig
11501340|202012|11501340|10.640|4,626|gültig
11501341|202012|11501341|7.252|2,583|gültig
12100101|202012|12100101|10.985|46,509|gültig
12100102|202012|12100102|9.986|49,539|gültig
12100103|202012|12100103|7.702|44,196|gültig
12100204|202012|12100204|8.869|46,147|gültig
12100205|202012|12100205|14.057|39,703|gültig
12100206|202012|12100206|4.661|28,022|gültig
12200307|202012|12200307|2.753|37,353|gültig
12200308|202012|12200308|5.667|37,327|gültig
12200309|202012|12200309|10.629|53,96|gültig
12200310|202012|12200310|8.270|59,749|gültig
12200411|202012|12200411|393|37,037|gültig
12200412|202012|12200412|6.355|17,896|gültig
12200413|202012|12200413|8.091|42,693|gültig
12200414|202012|12200414|1.428|30,636|gültig
12200515|202012|12200515|10.959|18,367|gültig
12400616|202012|12400616|6.011|5,556|gültig
12400617|202012|12400617|6.871|2,056|gültig
12400618|202012|12400618|3.764|6,091|gültig
12400619|202012|12400619|7.730|6,584|gültig
12400720|202012|12400720|8.662|3,731|gültig
12400721|202012|12400721|8.027|4,742|gültig
